SALURAN : 		S. S. GROMPOL																																																												
Jenis sal (0.Profil 1. Main System 2. Tersier 3. Drain) :				1																																																										
Jenis Bangunan : 1.Bendung 2. Bagi  3.Sadap 4.Terjun 5.Gr Pembawa 6.Gr Pembuang 7.Jembatan 8.Talang 9.Siphon 10.Got miring 11.Pelimpah samping 12.Box Tersier 13.Box Kwarter 14.Jembatan org 15.Tempat ui 16.Mandi Hewan 17.PengurA																																																														
"Keterangan ross : R (rumah), P (pagar), J (jalan), T (tanggul), D (dAar sal), L (lining), W (Rawa), S (sawah), K (kebun), B(boundary)"																																																														
PATOK	X	Y	Z	Azimuth kiri			Dim sal	HWL1	X	Setion																																																				
				jam	mnt	dtk				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22																															
jarak	Nama bangunan	Tipe bangunan	z (head loss)	El. Dr	El. T ka	El. T ki	Lining	HWL2	tnh Ali																																																					
step methode(y/n/d)				El. Dr2	El. T ka2	El. T ki2	K	Water level	Bed level																																																					
															T1L	D1L	L	D1L	T1L																																											
GP.49	613467.864	9144445.781	54.924							54.112	54.125	54.855	54.924	54.869	54.464	53.95	53.855	53.85	54.443	54.963	54.868	54.056	53.988																																							
										-4.992122695	-1.728028935	-0.757016512	0	0.297001684	0.411004866	1.090016514	1.913031626	2.95204895	3.527056705	4.079064844	4.768076447	5.8680985	8.863146732																																							
															T1L	D1L	L	D1L	T1L																																											
GP.50	613476.858	9144493.792	54.92							54.04	54.052	54.599	54.875	54.92	54.876	54.658	53.797	53.725	53.752	54.665	54.91	54.909	54.124	53.972																																						
	BGP 4	3								-5.530117178	-2.084047024	-1.564031969	-1.126021758	0	0.324055551	0.550109989	1.448270693	2.034373859	2.809518998	3.733694283	4.042752528	5.016937811	5.601041332	7.264349179																																						
																T1L	D1L	L	D1L	T1L																																										
GP.51	613491.023	9144540.405	54.693							53.94	54.061	54.64	54.69	54.693	54.281	53.779	53.741	53.711	53.772	54.26	54.673	54.673	54.273	54.005																																						
										-6.528219512	-2.238485649	-0.923106169	0	0.277146171	0.741826125	1.321273628	1.980939424	2.044565724	2.690191443	3.367862824	3.887141109	4.595225566	5.190578484	6.559238066																																						
															T1L	D1L	L	L	D1L	T1L																																										
GP.52	613505.340	9144587.493	54.628							53.998	53.962	54.609	54.628	54.631	54.263	53.732	53.713	53.739	54.319	54.765	54.745	53.984	53.853																																							
										-5.700348849	-2.031236569	-1.003112157	0	0.380021052	0.57704246	1.085077877	1.702129549	2.607208852	3.132242807	3.560284399	4.595111424	5.762145868	8.528975613																																							
															T1L	D1L	L	D1L	T1L																																											
GP.53	613519.302	9144634.058	54.706							53.95	54.005	54.718	54.706	54.676	54.318	53.822	53.761	53.786	54.269	54.728	54.705	54.015	54.845																																							
										-6.386830591	-2.057097227	-0.988040991	0	0.404044552	0.652062114	1.254115226	1.941174129	2.750248898	3.270296011	3.660327991	4.749431229	6.195555988	8.892140575																																							
															T1L	D1L	L	D1L	T1L																																											
GP.54	613533.228	9144680.647	54.636							52.519	54.64	54.662	54.677	54.292	53.817	53.746	53.861	54.228	54.695	54.379	53.917	53.832																																								
										-1.819197625	-1.241551449	0	0.374786606	0.820524832	1.330789991	2.27300022	3.103282456	3.462537364	3.807920824	5.223337056	6.110008183	8.771985237																																								
														T1L	D1L	L	D1L	T1L																																												
GP.55	613548.873	9144726.567	54.698							53.862	53.918	54.623	54.698	54.701	54.322	53.739	53.826	53.831	54.136	54.469	54.465	53.998	53.803																																							
										-5.751409219	-1.724545737	-0.616548457	0	0.349173309	0.661302503	1.374641771	2.064961259	2.818312438	3.193473501	3.705723276	5.743666599	7.257876067	10.44102701																																							
															T1L	D1L	L	D1L	T1L																																											
GP.56	613569.017	9144770.745	54.747							53.806	54.036	54.566	54.778	54.627	54.221	53.749	53.746	53.78	54.095	54.537	54.461	53.942	53.853																																							
										-5.024847858	-1.547979651	-0.869793654	0	0.449608719	0.811440694	1.320576011	2.042664192	2.793664976	3.176101541	3.716897228	5.164031371	5.292146351	8.172692213																																							
															T1L	D1L	L	D1L	T1L																																											
GP.57	613589.671	9144816.061	54.737							53.785	53.951	54.628	54.737	54.668	54.23	53.793	53.766	53.74	54.158	54.563	54.565	53.792	53.669																																							
										-5.555357234	-1.674107822	-0.459017429	0	0.253017786	0.644038042	1.231068641	1.881106323	2.704155506	3.183171061	3.634060677	5.289090848	5.87310429	8.026538793																																							
															T1L	D1L	L	D1L	T1L																																											
GP.58	613608.689	9144858.603	54.45							53.736	53.848	54.454	54.45	54.413	54.193	53.71	53.615	53.642	54.131	54.409	54.349	53.893	53.848																																							
