Id,Name,Description,X,Y,Z
1,P.37,,612105.54358530161,9142116.5482950956,57.209
2,P.37,,612106.85173178837,9142118.4412699435,57.517
3,P.37,T1,612108.85346311366,9142121.3379081152,57.551
4,P.37,L,612109.2445994817,9142121.9039084166,57.066
5,P.37,D1L,612111.82280214014,9142125.6347388942,54.981
6,P.37,,612115.04399205477,9142130.2960146349,54.966
7,P.37,D1L,612118.45790759253,9142135.236177152,55.03
8,P.37,L,612120.32547004742,9142137.9386640582,57.011
9,P.37,T1,612120.74844309664,9142138.550734153,57.384
10,P.37,,612122.08103560633,9142140.4790840186,57.54
11,P.37,,612122.45,9142141.013,57.69
12,P.37,,612124.059457933,9142143.3419925217,57.221
13,P.37,,612125.23002447619,9142145.0358800516,57.183
0,P.38,,612084.99181116407,9142126.5322024673,56.963
1,P.38,,612086.54246466106,9142129.1062068827,57.251
2,P.38,,612087.72983693948,9142131.07718331,57.559
3,P.38,T1,612089.54675905686,9142134.0931798313,57.594
